LanguageHaveWorkedWith,Currency,Country,RemoteWork,CompTotal
Bash/Shell (all shells);HTML/CSS;PowerShell;Python,USD	United States dollar,United States of America,Remote,145000.0
Assembly;Bash/Shell (all shells);C#;C++;Dart;HTML/CSS;Java;Kotlin;Lua;Python;Rust;SQL,EUR European Euro,Germany,In-person,
C#;Python;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",170000.0
HTML/CSS;Python,EUR European Euro,Germany,In-person,48000.0
C#;HTML/CSS;JavaScript;PowerShell;Python;SQL,EUR European Euro,Germany,In-person,52000.0
C#;C++;F#;Go;JavaScript;Kotlin;MATLAB;PowerShell;Python;R;Rust;SQL;TypeScript,USD	United States dollar,United States of America,Remote,126000.0
MATLAB;Python;R;SQL;VBA,USD	United States dollar,United States of America,In-person,
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;R;SQL,USD	United States dollar,United States of America,In-person,183000.0
Bash/Shell (all shells);C;C++;Elixir;Erlang;Go;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;R;Ruby;Rust;SQL;Swift;TypeScript;Visual Basic (.Net),USD	United States dollar,United States of America,Remote,200000.0
C++;Elixir;Java;Kotlin;MATLAB;Python,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",
JavaScript;Python;R;SAS;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",125000.0
MATLAB;Python,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",
HTML/CSS;JavaScript;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,170000.0
C;Python,EUR European Euro,Germany,In-person,
C;C++;Python,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",105000.0
HTML/CSS;Java;JavaScript;Python;TypeScript;VBA,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",50000.0
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;Python;Rust;SQL,EUR European Euro,Germany,Remote,60000.0
Bash/Shell (all shells);Python;SQL,EUR European Euro,Germany,In-person,
Bash/Shell (all shells);C;C++;JavaScript;PowerShell;Python;R;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",9000000.0
Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",70000.0
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python,USD	United States dollar,United States of America,In-person,73000.0
Python;SQL;VBA;Visual Basic (.Net),USD	United States dollar,United States of America,In-person,50000.0
Elixir;Python;Rust,EUR European Euro,Germany,In-person,120000.0
C#;HTML/CSS;Python;TypeScript;VBA,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",
Bash/Shell (all shells);Java;Kotlin;PHP;Python;SQL,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",106000.0
C;Python,EUR European Euro,Germany,In-person,26000.0
Bash/Shell (all shells);HTML/CSS;JavaScript;Lisp;Python;R;SQL;VBA,USD	United States dollar,United States of America,Remote,
Dart;Java;Perl;Python;SQL,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",58000.0
C#;Python;SQL,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",
Groovy;HTML/CSS;JavaScript;Python;R;SAS;SQL,USD	United States dollar,United States of America,Remote,165000.0
Java;JavaScript;Python,EUR European Euro,Germany,Remote,220000.0
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",65000.0
PowerShell;Python;VBA,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",
C#;Python;SQL,USD	United States dollar,United States of America,Remote,160000.0
C#;HTML/CSS;JavaScript;PHP;Python;SQL;VBA,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",
C;C++;Python,EUR European Euro,Germany,In-person,97435.0
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;Rust,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,
HTML/CSS;Python;SQL,USD	United States dollar,United States of America,In-person,240000.0
Assembly;Bash/Shell (all shells);C;C++;Dart;Fortran;Go;HTML/CSS;JavaScript;Lua;Objective-C;PHP;Prolog;Python;Rust;SQL;Swift;TypeScript,EUR European Euro,Germany,Remote,85000.0
C#;C++;PowerShell;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",250000.0
Go;Java;Kotlin;Python;SQL;TypeScript,EUR European Euro,Germany,Remote,160000.0
C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,170000.0
HTML/CSS;JavaScript;Lua;PHP;Python;SQL;TypeScript,EUR European Euro,India,Remote,21600.0
Bash/Shell (all shells);C;C#;Go;PHP;Python;Ruby;SQL,USD	United States dollar,United States of America,Remote,80000.0
HTML/CSS;Java;JavaScript;Objective-C;Python,EUR European Euro,Germany,Remote,70000.0
Assembly;Bash/Shell (all shells);C;C#;C++;Cobol;Fortran;Go;HTML/CSS;Java;JavaScript;Julia;Kotlin;Lisp;Lua;MATLAB;Objective-C;Perl;PHP;PowerShell;Python;R;Ruby;Rust;Scala;Solidity;SQL;Swift;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",185000.0
C#;HTML/CSS;JavaScript;Python;SQL;VBA;Visual Basic (.Net),USD	United States dollar,United States of America,In-person,73000.0
Python;Rust,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",72000.0
Bash/Shell (all shells);C;HTML/CSS;JavaScript;Lisp;Lua;Python;Scala;SQL,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",70000.0
C#;C++;Python;Visual Basic (.Net),USD	United States dollar,United States of America,In-person,40000.0
C;JavaScript;Kotlin;Python;Rust;SQL,USD	United States dollar,United States of America,In-person,110000.0
Python;SQL,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",98000.0
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,USD	United States dollar,United States of America,Remote,200000.0
Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Python;SQL;TypeScript,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",40000.0
F#;Julia;Lua;Python;TypeScript,USD	United States dollar,United States of America,Remote,77062.0
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,USD	United States dollar,United States of America,Remote,163000.0
Python;SQL,EUR European Euro,Germany,In-person,100000.0
C++;Go;Python;SQL,USD	United States dollar,United States of America,Remote,350000.0
Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,EUR European Euro,Germany,Remote,120000.0
Python;SQL,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",48000.0
Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",90000.0
Bash/Shell (all shells);C;C++;Python,EUR European Euro,Germany,Remote,80000.0
MATLAB;Python,USD	United States dollar,United States of America,Remote,
HTML/CSS;Java;JavaScript;Python;Rust;SQL,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",45000.0
C;C#;C++;GDScript;HTML/CSS;Java;JavaScript;Python;SQL,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",
C;C#;C++;Julia;Python;Rust,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",66000.0
Bash/Shell (all shells);C++;Go;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",120000.0
Assembly;Bash/Shell (all shells);C;C++;Python,USD	United States dollar,United States of America,In-person,250000.0
Bash/Shell (all shells);Clojure;HTML/CSS;JavaScript;Lua;Python;SQL,USD	United States dollar,United States of America,Remote,139000.0
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript,EUR European Euro,Germany,Remote,30000.0
C;C#;C++;Delphi;F#;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;Rust;SQL,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",60000.0
C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;VBA;Visual Basic (.Net),USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",165000.0
Bash/Shell (all shells);C++;Python,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",
C;C++;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",
Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL,USD	United States dollar,United States of America,Remote,246000.0
C;C#;C++;Go;HTML/CSS;Java;JavaScript;Lua;MATLAB;PHP;Python;SQL,EUR European Euro,Germany,Remote,60000.0
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,EUR European Euro,Germany,Remote,5335.0
HTML/CSS;JavaScript;Python;Rust;SQL,USD	United States dollar,United States of America,Remote,117000.0
HTML/CSS;Python;SQL,USD	United States dollar,United States of America,Remote,170000.0
Bash/Shell (all shells);C;C++;Go;Java;Python,USD	United States dollar,United States of America,Remote,375000.0
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;TypeScript,USD	United States dollar,United States of America,Remote,85000.0
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,135000.0
Go;HTML/CSS;JavaScript;Python;Ruby;SQL;Swift;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",105000.0
Bash/Shell (all shells);Go;Perl;Python;Ruby,USD	United States dollar,United States of America,Remote,225000.0
Bash/Shell (all shells);C;C#;Perl;PowerShell;Python;SQL;Visual Basic (.Net),USD	United States dollar,United States of America,In-person,85000.0
Bash/Shell (all shells);C;Python,USD	United States dollar,United States of America,In-person,172000.0
HTML/CSS;JavaScript;PHP;Python;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",
C;Go;Groovy;HTML/CSS;JavaScript;PowerShell;Python;TypeScript,USD	United States dollar,United States of America,Remote,285000.0
Bash/Shell (all shells);JavaScript;Python;Rust;SQL;TypeScript,USD	United States dollar,United States of America,Remote,188000.0
C;C++;Go;Perl;Python;SQL,USD	United States dollar,United States of America,Remote,500000.0
Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Lua;Python;TypeScript,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",60000.0
Bash/Shell (all shells);Delphi;Go;Groovy;HTML/CSS;Java;JavaScript;Perl;PHP;Python;SQL;VBA,EUR European Euro,Germany,Remote,60000.0
C#;HTML/CSS;JavaScript;MATLAB;PowerShell;Python;SQL;VBA,USD	United States dollar,United States of America,In-person,
HTML/CSS;JavaScript;PHP;Python;SQL,USD	United States dollar,India,In-person,
Bash/Shell (all shells);HTML/CSS;Java;Python;Rust;Scala;VBA,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",100000.0
Bash/Shell (all shells);C#;Elixir;JavaScript;PHP;Python;SQL,USD	United States dollar,United States of America,In-person,50000.0
C;C#;C++;Delphi;JavaScript;PHP;Python;SQL,EUR European Euro,Germany,In-person,72000.0
Bash/Shell (all shells);Python;R;SQL,USD	United States dollar,United States of America,Remote,238000.0
Bash/Shell (all shells);C;C#;C++;Fortran;JavaScript;MATLAB;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",120000.0
C;C#;C++;HTML/CSS;JavaScript;Lua;Python;SQL,USD	United States dollar,United States of America,In-person,
C++;Go;Java;JavaScript;Python;SQL,EUR European Euro,Germany,Remote,80000.0
C#;Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,145000.0
HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",75000.0
Bash/Shell (all shells);C;C#;C++;PowerShell;Python,USD	United States dollar,United States of America,Remote,168000.0
C;JavaScript;MATLAB;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",
Bash/Shell (all shells);JavaScript;PowerShell;Python;SQL;TypeScript,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",90000.0
C;JavaScript;Python;Ruby;Rust;Scala;SQL;TypeScript,USD	United States dollar,United States of America,Remote,165000.0
Bash/Shell (all shells);Python;SQL,USD	United States dollar,United States of America,Remote,168000.0
JavaScript;Python,USD	United States dollar,United States of America,In-person,130000.0
C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,EUR European Euro,Germany,In-person,12000.0
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;Visual Basic (.Net),USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",80000.0
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",39999.0
Bash/Shell (all shells);Elixir;Go;HTML/CSS;Java;JavaScript;Julia;Kotlin;Python;Ruby;Rust;SQL,USD	United States dollar,United States of America,Remote,275000.0
Assembly;Bash/Shell (all shells);C;C++;Lua;PowerShell;Python;Rust,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",103000.0
Java;PowerShell;Python;R;SQL;Visual Basic (.Net),USD	United States dollar,United States of America,Remote,82000.0
Go;PowerShell;Python;SQL,USD	United States dollar,United States of America,Remote,
Go;Java;JavaScript;PHP;Python;SQL;Swift,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",100000.0
Bash/Shell (all shells);C++;Haskell;JavaScript;Python;Rust;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",175000.0
C;C++;Java;Python;Ruby;SQL,USD	United States dollar,United States of America,Remote,235000.0
HTML/CSS;JavaScript;Python,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",
JavaScript;Objective-C;Python;Swift,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",1000000.0
Bash/Shell (all shells);C#;JavaScript;Python;TypeScript,EUR European Euro,Germany,In-person,
Bash/Shell (all shells);Python;R;SQL,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",52000.0
C;C#;C++;Groovy;HTML/CSS;Java;JavaScript;PowerShell;Python,USD	United States dollar,United States of America,Remote,200000.0
Assembly;Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;SQL,USD	United States dollar,United States of America,In-person,83000.0
JavaScript;Kotlin;Objective-C;Python;SQL;Swift,USD	United States dollar,United States of America,Remote,
Bash/Shell (all shells);Go;Groovy;HTML/CSS;PHP;Python;Rust;SQL,USD	United States dollar,United States of America,Remote,85000.0
Bash/Shell (all shells);C;C++;Go;HTML/CSS;JavaScript;PowerShell;Python;Ruby;SQL,USD	United States dollar,United States of America,Remote,200000.0
Bash/Shell (all shells);Go;HTML/CSS;Python,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",
Groovy;HTML/CSS;JavaScript;Python,USD	United States dollar,United States of America,In-person,76000.0
C#;HTML/CSS;JavaScript;PowerShell;Python,EUR European Euro,Germany,Remote,
Bash/Shell (all shells);Python;SQL,EUR European Euro,Germany,Remote,56000.0
Bash/Shell (all shells);C;C++;Clojure;Dart;Java;JavaScript;Lisp;Python;Ruby;SQL;TypeScript,USD	United States dollar,United States of America,Remote,180000.0
Bash/Shell (all shells);MATLAB;Python;R,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",110000.0
Python;SQL,USD	United States dollar,United States of America,Remote,138000.0
Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,USD	United States dollar,United States of America,Remote,150000.0
Bash/Shell (all shells);C;Go;JavaScript;Python;Ruby;Rust;SQL,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",72000.0
Bash/Shell (all shells);Go;Haskell;HTML/CSS;JavaScript;Python;Ruby;Scala;TypeScript,USD	United States dollar,United States of America,Remote,100000.0
Elixir;HTML/CSS;JavaScript;Python;TypeScript,USD	United States dollar,United States of America,Remote,168000.0
C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,125000.0
C#;HTML/CSS;Java;JavaScript;Python;Rust;SQL,EUR European Euro,Germany,In-person,48000.0
Bash/Shell (all shells);Java;Kotlin;Python,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",83000.0
Assembly;Bash/Shell (all shells);C;C++;Fortran;JavaScript;Lisp;Lua;MATLAB;Python;Rust;SQL,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",75000.0
HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,125000.0
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL,EUR European Euro,Germany,Remote,66000.0
Bash/Shell (all shells);HTML/CSS;Kotlin;Python;SQL,USD	United States dollar,United States of America,Remote,200000.0
Bash/Shell (all shells);Java;JavaScript;Python;SQL,USD	United States dollar,United States of America,Remote,150000.0
Go;Java;JavaScript;Kotlin;PHP;Python;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,USD	United States dollar,United States of America,Remote,66950.0
GDScript;Go;HTML/CSS;Java;JavaScript;Lua;PHP;Python;SQL,USD	United States dollar,United States of America,In-person,65000.0
C++;JavaScript;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",190000.0
Bash/Shell (all shells);C#;JavaScript;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,225000.0
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;Python;R;SQL;TypeScript,USD	United States dollar,United States of America,Remote,
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;Swift;TypeScript,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",90000.0
Python,USD	United States dollar,United States of America,Remote,100000.0
JavaScript;Kotlin;Python;SQL;TypeScript,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",70000.0
Java;Python;R;SQL,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",
Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,EUR European Euro,Germany,In-person,38500.0
Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python;Ruby;SQL;TypeScript,USD	United States dollar,United States of America,Remote,170000.0
Bash/Shell (all shells);C++;HTML/CSS;JavaScript;PHP;Python;SQL,EUR European Euro,Germany,Remote,
Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",120000.0
Bash/Shell (all shells);C;C#;Fortran;Groovy;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",215000.0
Python,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",51000.0
Bash/Shell (all shells);C;C++;Java;MATLAB;Python;SQL,USD	United States dollar,United States of America,In-person,200000.0
Bash/Shell (all shells);PHP;Python,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",
Bash/Shell (all shells);C#;Lua;Perl;PHP;Python;R;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",120000.0
Bash/Shell (all shells);C;C++;Java;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",200000.0
C#;HTML/CSS;JavaScript;PowerShell;Python;SQL,USD	United States dollar,United States of America,Remote,200000.0
Bash/Shell (all shells);JavaScript;PHP;Python,EUR European Euro,Germany,Remote,
Bash/Shell (all shells);C#;Go;PowerShell;Python;R;SQL;TypeScript,USD	United States dollar,United States of America,Remote,216000.0
Go;JavaScript;Lisp;Python;SQL,USD	United States dollar,United States of America,In-person,60000.0
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;Python;SQL,USD	United States dollar,United States of America,In-person,150000.0
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",140000.0
C#;HTML/CSS;Java;JavaScript;Julia;Perl;PHP;PowerShell;Python;R;SQL;VBA;Visual Basic (.Net),USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",45000.0
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",126000.0
HTML/CSS;Java;Python,USD	United States dollar,United States of America,In-person,91000.0
HTML/CSS;Java;JavaScript;Python;SQL,USD	United States dollar,United States of America,Remote,132000.0
Bash/Shell (all shells);MATLAB;Python,USD	United States dollar,United States of America,Remote,190000.0
Bash/Shell (all shells);Python;R;SQL,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",86000.0
Bash/Shell (all shells);C++;Kotlin;Objective-C;Python;Rust;Swift,USD	United States dollar,United States of America,Remote,150000.0
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,USD	United States dollar,United States of America,Remote,93000.0
Assembly;Bash/Shell (all shells);C;Go;HTML/CSS;JavaScript;Lua;Python;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",250000.0
C++;JavaScript;Python,USD	United States dollar,United States of America,Remote,90000.0
Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PowerShell;Python;Scala;SQL;TypeScript,USD	United States dollar,United States of America,Remote,185000.0
C++;Python;R;Visual Basic (.Net),EUR European Euro,Germany,In-person,45000.0
